,cities
2128,Sao Raimundo Das Mangabeiras - MA
2129,Sao Raimundo Nonato - PI
2130,Sao Roque - SP
2131,Sao Salvador Do Tocantins - TO
2132,Sao Sebastiao - SP
2133,Sao Sebastiao Da Amoreira - PR
2134,Sao Sebastiao De Lagoa De Roca - PB
2135,Sao Sebastiao Do Paraiso - MG
2136,Sao Sebastiao Do Passe - BA
2137,Sao Sebastiao Do Umbuzeiro - PB
2138,Sao Simao - GO
2139,Sao Simao - SP
2140,Sao Tiago - MG
2141,Sao Vicente - SP
2142,Sao Vicente Ferrer - MA
2143,Sape - PB
2144,Sapeacu - BA
2145,Sapezal - MT
2146,Sapiranga - RS
2147,Sapopema - PR
2148,Sapucaia - PA
2149,Sapucaia - RJ
2150,Sapucaia Do Sul - RS
2151,Sapucai-Mirim - MG
2152,Saquarema - RJ
2153,Sarandi - PR
2154,Sarandi - RS
2155,Sardoa - MG
2156,Saudades - SC
2157,Saude - BA
2158,Seabra - BA
2159,Seara - SC
2160,Sebastiao Leal - PI
2161,Seberi - RS
2162,Segredo - RS
2163,Selviria - MS
2164,Senador Firmino - MG
2165,Senador Pompeu - CE
2166,Senador Sa - CE
2167,Senges - PR
2168,Senhora Do Porto - MG
2169,Senhor Do Bonfim - BA
2170,Seringueiras - RO
2171,Seritinga - MG
2172,Serra - ES
2173,Serra Branca - PB
2174,Serra Do Salitre - MG
2175,Serra Dourada - BA
2176,Serra Negra - SP
2177,Serranopolis - GO
2178,Serraria - PB
2179,Serra Talhada - PE
2180,Serrinha - BA
2181,Serrita - PE
2182,Serro - MG
2183,Serrolandia - BA
2184,Sertania - PE
2185,Sertanopolis - PR
2186,Sertao - RS
2187,Sertaozinho - SP
2188,Sete Lagoas - MG
2189,Setubinha - MG
2190,Severinia - SP
2191,Sidrolandia - MS
2192,Silvania - GO
2193,Silves - AM
2194,Simao Dias - SE
2195,Simao Pereira - MG
2196,Simonesia - MG
2197,Simplicio Mendes - PI
2198,Sinop - MT
2199,Siqueira Campos - PR
2200,Sirinhaem - PE
2201,Sobradinho - BA
2202,Sobrado - PB
2203,Sobral - CE
2204,Socorro - SP
2205,Solanea - PB
2206,Soledade - PB
2207,Soledade - RS
2208,Soledade De Minas - MG
2209,Solonopole - CE
2210,Sombrio - SC
2211,Sonora - MS
2212,Sooretama - ES
2213,Sorocaba - SP
2214,Sorriso - MT
2215,Sousa - PB
2216,Souto Soares - BA
2217,Sumare - SP
2218,Sume - PB
2219,Surubim - PE
2220,Suzano - SP
2221,Tabira - PE
2222,Taboao Da Serra - SP
2223,Tabocas Do Brejo Velho - BA
2224,Tabuleiro Do Norte - CE
2225,Tacaimbo - PE
2226,Tacaratu - PE
2227,Taguai - SP
2228,Taguatinga - TO
2229,Tailandia - PA
2230,Taio - SC
2231,Taiobeiras - MG
2232,Talisma - TO
2233,Tamandare - PE
2234,Tambau - SP
2235,Tanabi - SP
2236,Tangara - SC
2237,Tangara Da Serra - MT
2238,Tanhacu - BA
2239,Tanque Do Piaui - PI
2240,Tapejara - PR
2241,Tapejara - RS
2242,Tapera - RS
2243,Taperoa - BA
2244,Taperoa - PB
2245,Tapira - MG
2246,Tapirai - SP
2247,Tapiramuta - BA
2248,Tapiratiba - SP
2249,Taquara - RS
2250,Taquaral - SP
2251,Taquaritinga - SP
2252,Taquarituba - SP
2253,Taruma - SP
2254,Tatui - SP
2255,Taua - CE
2256,Taubate - SP
2257,Tavares - PB
2258,Tavares - RS
2259,Teixeira - PB
2260,Teixeira De Freitas - BA
2261,Teixeiras - MG
2262,Teixeira Soares - PR
2263,Tejucuoca - CE
2264,Telemaco Borba - PR
2265,Tenente Portela - RS
2266,Teodoro Sampaio - SP
2267,Teofilandia - BA
2268,Teofilo Otoni - MG
2269,Teolandia - BA
2270,Teresina - PI
2271,Teresina De Goias - GO
2272,Teresopolis - RJ
2273,Terezopolis De Goias - GO
2274,Terra Boa - PR
2275,Terra Rica - PR
2276,Terra Roxa - PR
2277,Terra Roxa - SP
2278,Theobroma - RO
2279,Tiangua - CE
2280,Tibagi - PR
2281,Tiete - SP
2282,Tijucas - SC
2283,Timbauba - PE
2284,Timbe Do Sul - SC
2285,Timbiras - MA
2286,Timbo - SC
2287,Timon - MA
2288,Timoteo - MG
2289,Tiradentes - MG
2290,Tobias Barreto - SE
2291,Tocantinopolis - TO
2292,Tocantins - MG
2293,Toledo - MG
2294,Toledo - PR
2295,Tomazina - PR
2296,Tombos - MG
2297,Toritama - PE
2298,Torixoreu - MT
2299,Torres - RS
2300,Torrinha - SP
2301,Trairao - PA
2302,Trairi - CE
2303,Tramandai - RS
2304,Tres Barras Do Parana - PR
2305,Tres Cachoeiras - RS
2306,Tres Coracoes - MG
2307,Tres De Maio - RS
2308,Tres Lagoas - MS
2309,Tres Marias - MG
2310,Tres Palmeiras - RS
2311,Tres Passos - RS
2312,Tres Pontas - MG
2313,Tres Rios - RJ
2314,Treviso - SC
2315,Treze Tilias - SC
2316,Trindade - GO
2317,Trindade - PE
2318,Trindade Do Sul - RS
2319,Triunfo - PE
2320,Trombas - GO
2321,Trombudo Central - SC
2322,Tubarao - SC
2323,Tucano - BA
2324,Tucuma - PA
2325,Tucunduva - RS
2326,Tucurui - PA
2327,Tuiuti - SP
2328,Tumiritinga - MG
2329,Tupa - SP
2330,Tupaciguara - MG
2331,Tupanatinga - PE
2332,Tuparendi - RS
2333,Tuparetama - PE
2334,Tupi Paulista - SP
2335,Turmalina - MG
2336,Turmalina - SP
2337,Tururu - CE
2338,Turvania - GO
2339,Turvo - PR
2340,Turvolandia - MG
2341,Tutoia - MA
2342,Uaua - BA
2343,Uba - MG
2344,Ubaira - BA
2345,Ubaitaba - BA
2346,Ubajara - CE
2347,Ubata - BA
2348,Ubatuba - SP
2349,Uberaba - MG
2350,Uberlandia - MG
2351,Ubirata - PR
2352,Uirauna - PB
2353,Umuarama - PR
2354,Unai - MG
2355,Uniao Da Vitoria - PR
2356,Urania - SP
2357,Urbano Santos - MA
2358,Uruacu - GO
2359,Uruara - PA
2360,Urucania - MG
2361,Urucui - PI
2362,Urucuia - MG
2363,Uruguaiana - RS
2364,Uruoca - CE
2365,Urupa - RO
2366,Urutai - GO
2367,Utinga - BA
2368,Vacaria - RS
2369,Valenca - BA
2370,Valenca - RJ
2371,Valenca Do Piaui - PI
2372,Valinhos - SP
2373,Valparaiso De Goias - GO
2374,Vargem Bonita - SC
2375,Vargem Grande - MA
2376,Vargem Grande Do Sul - SP
2377,Vargem Grande Paulista - SP
2378,Varginha - MG
2379,Varjao De Minas - MG
2380,Varzea Alegre - CE
2381,Varzea Grande - MT
2382,Varzea Grande - PI
2383,Varzea Nova - BA
2384,Vassouras - RJ
2385,Venancio Aires - RS
2386,Ventania - PR
2387,Vera - MT
2388,Vera Cruz Do Oeste - PR
2389,Viana - MA
2390,Vicosa - MG
2391,Videira - SC
2392,Vieiras - MG
2393,Vila Pavao - ES
2394,Vila Rica - MT
2395,Vila Valerio - ES
2396,Vila Velha - ES
2397,Vilhena - RO
2398,Vinhedo - SP
2399,Viradouro - SP
2400,Virginopolis - MG
2401,Virgolandia - MG
2402,Visconde Do Rio Branco - MG
2403,Viseu - PA
2404,Vista Alegre Do Alto - SP
2405,Vitoria - ES
2406,Vitoria Da Conquista - BA
2407,Vitoria De Santo Antao - PE
2408,Vitoria Do Mearim - MA
2409,Vitorino - PR
2410,Volta Grande - MG
2411,Volta Redonda - RJ
2412,Votorantim - SP
2413,Votuporanga - SP
2414,Wagner - BA
2415,Wanderlandia - TO
2416,Wenceslau Braz - PR
2417,Xambioa - TO
2418,Xambre - PR
2419,Xanxere - SC
2420,Xaxim - SC
2421,Xinguara - PA
2422,Zabele - PB
2423,Ze Doca - MA
