,cities
401,Campos Do Jordao - SP
402,Campos Dos Goytacazes - RJ
403,Campos Gerais - MG
404,Campos Novos - SC
405,Campos Sales - CE
406,Campo Verde - MT
407,Canaa Dos Carajas - PA
408,Canabrava Do Norte - MT
409,Canapolis - MG
410,Canarana - BA
411,Canarana - MT
412,Canavieira - PI
413,Canavieiras - BA
414,Candeias - MG
415,Candido Mota - SP
416,Candido Sales - BA
417,Candoi - PR
418,Canela - RS
419,Canelinha - SC
420,Canhotinho - PE
421,Caninde - CE
422,Canitar - SP
423,Canoas - RS
424,Canoinhas - SC
425,Cantagalo - MG
426,Cantagalo - PR
427,Canto Do Buriti - PI
428,Canudos - BA
429,Capanema - PA
430,Capanema - PR
431,Capao Bonito - SP
432,Capao Da Canoa - RS
433,Capelinha - MG
434,Capetinga - MG
435,Capim Grosso - BA
436,Capinopolis - MG
437,Capinzal - SC
438,Capinzal Do Norte - MA
439,Capitao Andrade - MG
440,Capitao De Campos - PI
441,Capitao Leonidas Marques - PR
442,Capitolio - MG
443,Capivari - SP
444,Caracarai - RR
445,Caracol - PI
446,Caraguatatuba - SP
447,Carangola - MG
448,Caratinga - MG
449,Caraubas - RN
450,Carazinho - RS
451,Carbonita - MG
452,Cardoso - SP
453,Cariacica - ES
454,Carlopolis - PR
455,Carlos Barbosa - RS
456,Carlos Chagas - MG
457,Carmesia - MG
458,Carmo Da Mata - MG
459,Carmo De Minas - MG
460,Carmo Do Cajuru - MG
461,Carmo Do Paranaiba - MG
462,Carmo Do Rio Claro - MG
463,Carmopolis De Minas - MG
464,Carnaiba - PE
465,Caroebe - RR
466,Carolina - MA
467,Carrapateira - PB
468,Caruaru - PE
469,Carvalhos - MG
470,Casa Branca - SP
471,Cascavel - CE
472,Cascavel - PR
473,Casserengue - PB
474,Cassia - MG
475,Cassilandia - MS
476,Castanhal - PA
477,Castanheira - MT
478,Castelandia - GO
479,Castelo - ES
480,Castro - PR
481,Cataguases - MG
482,Catalao - GO
483,Catanduva - SP
484,Catanduvas - PR
485,Catas Altas - MG
486,Caturite - PB
487,Caucaia - CE
488,Caxambu - MG
489,Caxias - MA
490,Caxias Do Sul - RS
491,Cedro - PE
492,Central - BA
493,Centralina - MG
494,Cerejeiras - RO
495,Ceres - GO
496,Cerqueira Cesar - SP
497,Cerquilho - SP
498,Cerro Azul - PR
499,Cesario Lange - SP
500,Ceu Azul - PR
501,Chapada Dos Guimaraes - MT
502,Chapada Gaucha - MG
503,Chapadao Do Ceu - GO
504,Chapadao Do Sul - MS
505,Chapeco - SC
506,Chavantes - SP
507,Chaves - PA
508,Chopinzinho - PR
509,Chorrocho - BA
510,Cianorte - PR
511,Cidreira - RS
512,Claudio - MG
513,Clevelandia - PR
514,Cocalinho - MT
515,Cocalzinho De Goias - GO
516,Cocos - BA
517,Codo - MA
518,Coimbra - MG
519,Colatina - ES
520,Colider - MT
521,Colina - SP
522,Colinas - MA
523,Colinas Do Tocantins - TO
524,Colmeia - TO
525,Colniza - MT
526,Colombia - SP
527,Colonia Do Gurgueia - PI
528,Colorado - PR
529,Coluna - MG
530,Comendador Gomes - MG
531,Comendador Levy Gasparian - RJ
532,Comodoro - MT
533,Conceicao - PB
534,Conceicao Das Pedras - MG
535,Conceicao Do Araguaia - PA
536,Conchal - SP
537,Conchas - SP
538,Concordia - SC
539,Confresa - MT
540,Congo - PB
541,Congonhas - MG
542,Congonhinhas - PR
543,Conselheiro Lafaiete - MG
544,Conselheiro Pena - MG
545,Contagem - MG
546,Contenda - PR
547,Contendas Do Sincora - BA
548,Coqueiral - MG
549,Corbelia - PR
550,Cordeiropolis - SP
551,Cordisburgo - MG
552,Coribe - BA
553,Corinto - MG
554,Cornelio Procopio - PR
555,Coroaci - MG
556,Coromandel - MG
557,Coronel Fabriciano - MG
558,Coronel Macedo - SP
559,Coronel Pacheco - MG
560,Coronel Sapucaia - MS
561,Coronel Vivida - PR
562,Corrego Do Ouro - GO
563,Corrente - PI
564,Correntina - BA
565,Corumba - MS
566,Corumba De Goias - GO
567,Corumbaiba - GO
568,Corupa - SC
569,Coruripe - AL
570,Cosmopolis - SP
571,Cosmorama - SP
572,Costa Marques - RO
573,Costa Rica - MS
