,cidade
695,fervedouro
696,figueiropolis
697,filadelfia
698,firmino-alves
699,firminopolis
700,flor-da-serra-do-sul
701,floreal
702,flores
703,floresta
704,floresta
705,florestopolis
706,floriano
707,florianopolis
709,formiga
710,formosa
711,formosa-do-oeste
712,formosa-do-rio-preto
713,formoso
714,formoso
715,forquilha
716,forquilhinha
717,fortaleza
719,fortim
720,foz-do-iguacu
721,fraiburgo
722,franca
723,francinopolis
724,francisco-alves
725,francisco-beltrao
726,frecheirinha
727,frederico-westphalen
728,frei-gaspar
729,fronteira
730,fronteiras
731,fruta-de-leite
732,frutal
733,fundao
734,galileia
735,galvao
736,gandu
737,garanhuns
738,garca
739,garibaldi
740,garopaba
741,garuva
742,gaspar
743,gaviao-peixoto
744,general-carneiro
745,general-carneiro
746,general-salgado
747,gentil
749,gilbues
751,goiana
752,goiana
753,goianapolis
754,goiandira
755,goianesia
756,goianesia-do-para
757,goiania
758,goianinha
759,goianira
760,goias
761,goiatuba
762,goioere
763,goncalves
764,gonzaga
765,gouveia
766,gouvelandia
767,governador-edison-lobao
768,governador-eugenio-barros
769,governador-lindenberg
770,governador-mangabeira
771,governador-valadares
772,graca
773,grajau
774,gramado
775,granja
776,gravata
777,gravatai
778,gravatal
779,groairas
781,guadalupe
782,guaira
783,guaira
784,guamiranga
785,guanambi
787,guapiara
788,guapirama
789,guara
790,guarabira
791,guaraci
793,guaraciaba
794,guaraciaba-do-norte
795,guarai
796,guaramiranga
797,guaramirim
798,guarani
799,guaraniacu
801,guaranta-do-norte
802,guarapari
803,guarapuava
804,guaraquecaba
805,guaratingueta
806,guaratuba
808,guaruja
809,guaruja-do-sul
811,guatambu
812,guatapara
814,guimaraes
815,guimarania
816,gurinhem
817,gurjao
818,gurupi
819,guzolandia
820,heitorai
821,hidrolandia
822,holambra
823,horizonte
824,horizontina
825,hortolandia
826,humaita
827,humberto-de-campos
828,iacanga
829,iacri
830,iacu
831,iaras
832,iati
833,ibaiti
834,ibatiba
835,ibema
836,ibia
837,ibiapina
838,ibiara
839,ibicarai
840,ibicare
841,ibicoara
842,ibicui
843,ibicuitinga
844,ibimirim
845,ibipeba
846,ibipora
847,ibira
848,ibiraci
849,ibiracu
850,ibiraiaras
851,ibirama
852,ibirapitanga
853,ibirarema
854,ibirataia
855,ibirite
856,ibiruba
857,ibitiara
858,ibitinga
859,ibitita
860,ibiuna
861,ibotirama
862,icapui
863,icara
864,icaraima
865,icem
866,ico
867,iconha
